state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
WY,34,408, no, no,0,1288,80,219,2087,93,1774,2021,103,909,14,7,378,1, False
OR,138,415, yes, yes,28,2112,117,359,3125,98,2656,178,118,801,107,2,289,3, True
FL,90,415, no, yes,24,712,82,121,1816,103,1544,1869,111,841,129,1,348,1, False
KY,73,408, no, no,0,949,121,1613,2532,83,2152,1751,86,788,142,2,383,2, False
SC,19,510, no, no,0,2594,116,441,2697,109,2292,1753,130,789,95,3,257,1, True
WA,120,408, no, yes,28,2158,123,3669,2852,76,2424,1921,78,864,69,3,186,1, False
MT,160,415, no, no,0,975,113,1658,2681,69,2279,2553,62,1149,132,4,356,3, False
PA,141,510, no, no,0,1465,121,2491,1699,125,1444,2388,112,1075,82,5,221,0, False
MA,90,408, no, no,0,1579,72,2684,234,93,1989,210,86,945,122,5,329,2, False
VT,72,415, no, no,0,1399,117,2378,2236,96,1901,2408,93,1084,127,4,343,2, False
MN,117,408, no, yes,21,1532,112,2604,2633,110,2238,135,85,608,119,7,321,1, False
IL,79,408, yes, no,0,1035,134,176,3193,111,2714,2399,124,108,84,4,227,2, False
AR,87,408, no, no,0,1858,119,3159,1923,83,1635,200,96,9,66,4,178,1, False
MD,102,415, no, no,0,1295,56,2202,3542,118,3011,1455,93,655,109,3,294,1, False
MT,49,408, no, no,0,2366,91,4022,2209,146,1878,1468,114,661,89,2,24,1, False
VT,67,408, no, no,0,2604,107,4427,2082,104,177,2079,115,936,10,2,27,6, False
CO,107,415, no, no,0,1673,100,2844,1639,79,1393,1859,100,837,67,5,181,2, False
NC,190,408, no, no,0,1822,101,3097,2123,95,1805,233,123,1049,93,4,251,2, False
WA,118,510, no, no,0,113,80,1921,1501,87,1276,2043,115,919,108,4,292,2, False
TN,120,415, no, no,0,1857,133,3157,2351,149,1998,2564,78,1154,169,6,456,0, False
AR,94,408, no, no,0,1362,114,2315,1651,118,1403,1379,71,621,96,5,259,0, False
DC,115,510, no, yes,29,2226,81,3784,1903,109,1618,2012,87,905,115,2,311,1, False
MN,61,415, no, no,0,1973,67,3354,2645,106,2248,2105,116,947,9,6,243,1, False
IA,143,510, no, yes,33,1414,130,2404,1864,114,1584,210,111,945,77,6,208,1, False
KS,110,510, no, no,0,208,69,3536,951,94,808,1785,129,803,8,11,216,1, False
ND,104,415, no, no,0,1185,92,2015,1778,109,1511,2557,98,1151,121,4,327,1, False
MT,16,510, no, no,0,1532,65,2604,2297,90,1952,1482,94,667,107,8,289,1, False
IL,183,510, no, no,0,1083,87,1841,1836,116,1561,1766,109,795,135,2,365,0, False
DC,147,408, no, no,0,1686,92,2866,1877,107,1595,2165,95,974,144,8,389,2, False
KY,58,415, no, no,0,2472,116,4202,3037,103,2581,1054,94,474,93,2,251,2, True
MS,102,510, yes, no,0,2242,81,3811,2433,90,2068,1478,66,665,12,8,324,3, False
TN,123,415, no, no,0,1669,98,2837,2218,77,1885,2439,114,1098,128,4,346,3, False
IA,64,415, no, yes,43,1184,100,2013,1441,108,1225,1581,91,711,85,6,23,1, False
AK,103,510, no, no,0,1909,62,3245,2266,53,1926,2301,96,1035,78,3,211,2, False
MN,152,415, no, no,0,3178,60,5403,1529,100,13,1234,63,555,104,7,281,1, True
WV,124,415, no, no,0,312,112,5304,180,109,153,1686,94,759,128,4,346,1, True
OR,97,415, no, no,0,146,121,2482,203,141,1726,1518,120,683,133,2,359,1, False
MS,131,415, no, no,0,1316,95,2237,1793,109,1524,2512,129,113,155,3,419,1, True
ME,57,415, no, yes,33,1934,105,3288,2316,79,1969,2262,90,1018,111,11,3,2, False
MN,157,510, no, no,0,1851,92,3147,213,85,1811,1961,85,882,85,5,23,2, False
GA,194,510, no, no,0,1933,106,3286,169,150,1437,2252,122,1013,118,4,319,0, False
DC,66,415, no, no,0,1464,107,2489,1965,99,167,2301,106,1035,78,2,211,1, False
GA,155,510, no, no,0,712,90,121,3044,119,2587,1833,103,825,86,4,232,0, False
NY,123,415, no, no,0,1232,104,2094,190,117,1615,1703,95,766,129,5,348,4, True
OK,116,510, no, no,0,205,90,3485,1409,114,1198,2726,96,1227,75,4,203,2, False
OK,63,415, no, no,0,1287,78,2188,2408,133,2047,2377,121,107,128,6,346,1, False
GA,64,510, no, no,0,2169,78,3687,211,115,1794,1798,116,809,114,5,308,3, False
NJ,96,510, no, no,0,150,122,255,2185,116,1857,2124,89,956,98,1,265,3, False
MN,53,415, no, no,0,1641,106,279,206,56,1751,1947,124,876,114,2,308,1, False
ME,105,510, no, no,0,212,113,3604,2266,128,1926,1936,114,871,89,7,24,3, False
MI,53,510, no, yes,37,1673,99,2844,1947,99,1655,2367,112,1065,12,9,324,2, False
MT,101,415, no, no,0,1544,130,2625,2172,101,1846,1854,52,834,139,4,375,1, False
NE,129,510, no, yes,30,1773,95,3014,2118,102,18,2402,108,1081,93,7,251,3, False
ND,122,408, no, no,0,2312,141,393,2678,136,2276,2403,100,1081,88,5,238,1, True
VA,163,415, no, no,0,2029,100,3449,1786,46,1518,2038,116,917,128,3,346,5, False
VT,93,408, no, no,0,1496,120,2543,2007,85,1706,1812,107,815,143,9,386,0, False
OH,115,510, yes, no,0,3453,81,587,2034,106,1729,2175,107,979,118,8,319,1, True
AL,25,408, no, no,0,2649,80,4503,2812,66,239,1661,80,747,84,4,227,1, True
DC,73,408, no, no,0,122,92,2074,1383,114,1176,2242,128,1009,58,5,157,1, False
ND,120,415, no, no,0,1772,88,3012,2704,99,2298,2315,90,1042,14,2,378,2, False
TN,196,415, no, no,0,1331,80,2263,2065,120,1755,2216,96,997,103,8,278,1, False
DE,97,510, no, no,0,2251,90,3827,2795,127,2376,2338,103,1052,88,4,238,0, True
NY,148,408, no, no,0,2084,120,3543,1744,99,1482,3107,105,1398,112,4,302,1, False
AL,85,408, no, yes,30,1731,107,2943,2472,101,2101,1587,104,714,115,5,311,1, False
OK,86,510, yes, no,0,1624,131,2761,167,102,142,1289,118,58,114,2,308,2, True
MS,78,415, no, yes,13,2812,93,478,1782,101,1515,2442,129,1099,64,5,173,2, False
MD,106,415, no, no,0,2083,89,3541,1694,67,144,102,90,459,159,4,429,3, False
NE,147,415, no, yes,38,2434,126,4138,2738,109,2327,2829,91,1273,141,8,381,2, False
AR,145,415, no, no,0,2242,89,3811,3149,121,2677,1829,121,823,161,3,435,1, True
IL,91,415, no, no,0,1893,100,3218,2393,107,2034,897,89,404,99,3,267,3, False
IN,81,408, no, yes,46,1683,124,2861,2709,103,2303,2225,98,1001,67,2,181,4, False
UT,116,415, no, yes,24,2329,90,3959,1521,94,1293,3443,82,1549,107,6,289,1, False
LA,69,415, no, yes,37,155,98,2635,1424,105,121,1437,117,647,59,4,159,1, False
ID,135,510, no, no,0,1544,130,2625,2038,90,1732,1587,59,714,118,3,319,0, False
KY,73,510, no, no,0,2347,102,399,1957,110,1663,2534,71,114,84,8,227,2, False
MI,48,415, no, no,0,240,88,408,141,117,1199,1289,137,58,71,9,192,1, False
NH,125,415, yes, no,0,2984,78,5073,2705,142,2299,1073,84,483,122,2,329,0, True
WV,100,415, no, no,0,166,102,2822,2361,97,2007,1343,93,604,109,4,294,1, False
OR,165,415, no, yes,33,1116,140,1897,2133,111,1813,2676,115,1204,16,3,432,0, False
SD,64,415, no, no,0,1745,98,2967,1802,103,1532,179,89,806,107,2,289,2, False
MD,116,510, yes, yes,27,1755,137,2984,2106,60,179,2948,121,1327,69,5,186,1, False
ND,147,408, yes, yes,35,1575,109,2678,1896,67,1612,227,76,1022,111,2,3,3, True
TN,115,415, no, no,0,2062,113,3505,1764,102,1499,2971,119,1337,11,7,297,1, False
MO,84,415, no, yes,35,2075,138,3528,201,116,1709,1645,107,74,75,16,203,4, False
IL,86,510, no, yes,16,1448,105,2462,2062,111,1753,2554,117,1149,116,2,313,4, False
UT,134,415, no, no,0,2588,85,44,1295,114,1101,1936,106,871,109,7,294,2, False
MI,105,415, no, no,0,2269,106,3857,1822,77,1549,2039,107,918,116,2,313,0, True
AR,88,408, no, no,0,1529,119,2599,1712,107,1455,257,106,1157,12,5,324,2, False
TX,90,408, no, yes,27,1567,51,2664,2365,118,201,1232,111,554,126,6,34,2, False
AK,86,408, no, no,0,1508,85,2564,2959,88,2515,2472,104,1112,125,1,338,1, False
TN,37,415, no, no,0,221,126,3757,2045,110,1738,118,98,531,68,3,184,4, False
NH,141,415, no, yes,32,3224,92,5481,2832,107,2407,2095,111,943,67,3,181,1, True
NM,148,408, no, no,0,1536,148,2611,2621,87,2228,2255,99,1015,98,3,265,2, False
MN,163,408, no, yes,22,2151,91,3657,1389,102,1181,1462,109,658,124,2,335,2, False
IA,89,415, no, yes,35,1744,108,2965,1967,100,1672,1274,74,573,118,3,319,1, False
RI,63,415, no, no,0,1805,126,3069,230,98,1955,2325,73,1046,106,3,286,0, False
AL,102,415, no, no,0,1231,106,2093,182,102,1547,2446,75,1101,126,7,34,2, False
NC,76,510, no, no,0,1657,94,2817,2574,80,2188,1708,114,769,10,4,27,1, False
SD,104,408, no, no,0,2002,92,3403,1187,87,1009,2366,65,1065,6,6,162,2, False
MT,109,510, no, no,0,1548,82,2632,2877,109,2445,2084,80,938,59,9,159,3, False
HI,105,510, no, no,0,1254,116,2132,2615,95,2223,2416,104,1087,114,9,308,2, False
MT,63,415, no, yes,33,1842,111,3131,3126,89,2657,264,55,1188,122,4,329,1, False
KY,105,415, no, yes,24,2747,99,467,1935,118,1645,2996,109,1348,108,3,292,3, False
DC,68,415, yes, yes,39,142,140,2414,2416,89,2054,302,72,1359,113,5,305,1, False
CO,63,408, yes, yes,21,1515,99,2576,1478,89,1256,2104,114,947,10,4,27,1, False
MI,74,415, no, no,0,1248,114,2122,133,121,1131,1603,85,721,106,7,286,3, False
AL,76,415, no, no,0,1792,85,3046,2229,66,1895,1882,113,847,124,2,335,0, False
KS,91,408, yes, no,0,2464,110,4189,182,98,1547,1576,106,709,121,2,327,2, True
NC,101,415, no, no,0,2327,114,3956,1864,123,1584,1533,122,69,115,6,311,5, False
SC,116,408, no, no,0,288,120,4896,2558,90,2174,2334,99,105,134,4,362,0, True
CO,131,415, no, yes,23,1708,145,2904,2367,93,2012,2945,100,1325,127,1,343,1, False
MN,84,415, no, no,0,2161,114,3674,1975,107,1679,2178,104,98,98,3,265,1, False
WY,104,415, no, no,0,1387,100,2358,2154,58,1831,1643,98,739,49,4,132,2, False
FL,108,510, no, no,0,2107,112,3582,2387,73,2029,2536,90,1141,92,5,248,3, False
NY,111,415, no, no,0,1818,117,3091,1581,91,1344,2662,123,1198,97,9,262,0, False
OK,155,408, no, yes,30,616,103,1047,2551,110,2168,2259,96,1017,124,5,335,1, False
ME,66,510, no, no,0,2077,85,3531,1967,112,1672,2617,83,1178,68,3,184,1, False
NE,64,510, no, no,0,2192,73,3726,167,65,142,1614,119,726,10,5,27,1, False
OH,69,415, no, no,0,227,122,3859,2587,111,2199,1697,87,764,89,1,24,2, False
CT,116,415, no, no,0,2459,73,418,2401,87,2041,1587,89,714,89,5,24,3, False
DC,101,415, no, no,0,2573,84,4374,1848,115,1571,1089,109,49,135,7,365,0, False
OK,15,415, no, no,0,1211,130,2059,216,86,1836,2351,33,1058,161,5,435,2, False
NJ,88,415, no, no,0,3015,136,5126,2577,72,219,1329,118,598,134,2,362,4, True
IA,197,415, no, no,0,2339,96,3976,2189,111,1861,1829,109,823,95,3,257,0, False
VA,50,415, yes, no,0,996,108,1693,3087,102,2624,1612,62,725,137,6,37,2, True
VA,172,510, no, no,0,1698,123,2887,1831,94,1556,395,72,1777,127,7,343,2, False
NM,188,415, yes, yes,26,1988,115,338,1666,67,1416,1985,118,893,144,3,389,1, True
FL,85,408, yes, no,0,1162,86,1975,2297,127,1952,2042,109,919,101,3,273,3, False
RI,103,510, yes, no,0,2559,128,435,1409,92,1198,3089,130,139,121,2,327,1, True
NJ,136,408, no, yes,27,1877,84,3191,221,147,1879,1457,110,656,10,4,27,3, False
NE,155,408, no, yes,21,1959,91,333,2139,84,1818,882,111,397,86,4,232,0, False
WV,145,415, no, no,0,1294,97,22,1854,101,1576,2047,106,921,11,2,3,2, False
WY,116,510, no, yes,12,221,108,3757,151,118,1284,179,80,806,9,6,243,2, False
SC,152,408, no, no,0,1405,92,2389,1868,96,1588,227,89,1022,95,5,257,2, False
MS,65,415, yes, no,0,2779,123,4724,1558,112,1324,2569,71,1156,92,10,248,0, True
ND,180,415, no, no,0,2249,105,3823,250,101,2125,2161,73,972,67,5,181,3, True
IL,67,415, no, no,0,1091,117,1855,2174,124,1848,1884,141,848,128,6,346,0, False
OR,60,415, no, no,0,2078,109,3533,1235,112,105,2916,115,1312,57,9,154,0, False
UT,138,510, no, no,0,2059,96,35,2571,94,2185,209,63,94,121,8,327,0, False
IA,44,415, no, no,0,3086,139,5246,1508,94,1282,1987,66,894,73,3,197,4, True
ME,25,510, no, no,0,2426,69,4124,209,117,1777,2197,82,989,144,6,389,2, False
WY,145,408, no, no,0,2296,82,3903,1381,103,1174,2508,109,1129,33,3,89,1, False
WI,122,510, no, yes,28,166,62,2822,2339,88,1988,1701,84,765,77,3,208,2, False
SC,121,415, no, no,0,1448,126,2462,2006,82,1705,2088,81,94,133,9,359,0, True
DC,55,510, yes, no,0,1061,77,1804,1235,100,105,964,92,434,129,3,348,0, False
CT,77,415, no, no,0,2218,84,3771,166,125,1411,2102,72,946,132,4,356,1, False
OR,12,415, no, no,0,2046,98,3478,2125,90,1806,1821,95,819,98,7,265,2, False
OR,64,510, no, no,0,2135,93,363,1666,114,1416,122,78,549,141,3,381,3, False
NV,92,415, no, yes,44,152,95,2584,2749,73,2337,1624,121,731,10,1,27,2, False
MN,125,415, yes, yes,29,2608,81,4434,1637,112,1391,2717,117,1223,17,6,459,1, True
OK,160,408, no, no,0,1664,117,2829,317,129,2695,1604,121,722,10,2,27,1, False
KS,79,415, no, no,0,1779,83,3024,1673,84,1422,2237,142,1007,152,8,41,0, False
RI,36,415, no, no,0,2351,97,3997,1968,104,1673,2597,110,1169,7,7,189,3, False
DC,102,415, no, no,0,1868,92,3176,1737,123,1476,2509,131,1129,97,4,262,2, False
IL,138,408, yes, no,0,2684,81,4563,1744,115,1482,1935,96,871,116,4,313,1, False
UT,164,510, no, no,0,1921,95,3266,2498,94,2123,1326,100,597,73,3,197,3, False
MN,125,415, no, no,0,2407,82,4092,2694,85,229,1871,74,842,101,3,273,0, True
WI,72,408, no, no,0,1799,113,3058,1498,112,1273,1682,79,757,98,7,265,2, False
MI,74,415, no, no,0,3141,86,534,2224,99,189,259,121,1166,123,5,332,3, True
MI,134,415, no, yes,41,162,82,2754,3247,77,276,1601,112,72,119,5,321,0, False
MA,145,415, no, no,0,1758,89,2989,2743,119,2332,2266,69,102,124,4,335,1, False
AL,136,510, no, no,0,1094,91,186,2075,111,1764,135,107,608,116,5,313,0, False
SC,209,510, no, no,0,2551,124,4337,2306,110,196,218,69,981,85,5,23,3, True
WI,66,415, yes, no,0,2087,84,3548,1733,88,1473,2647,107,1191,83,3,224,3, False
VT,152,510, no, yes,20,2146,108,3648,966,82,821,1707,145,768,79,5,213,1, False
CT,162,408, no, no,0,492,121,836,1439,136,1223,203,97,914,121,13,327,1, False
OR,72,510, no, no,0,1413,133,2402,1349,96,1147,2275,97,1024,112,3,302,2, False
HI,101,415, no, no,0,2532,89,4304,2379,114,2022,1543,85,694,97,7,262,4, False
WV,125,415, no, no,0,206,128,3502,1981,71,1684,1359,116,612,132,3,356,0, False
RI,46,408, no, no,0,404,105,687,1724,83,1465,1451,89,653,9,2,243,2, False
MI,132,408, no, no,0,2912,104,495,2342,132,1991,1917,87,863,89,3,24,1, True
ME,193,415, no, yes,31,712,58,121,1247,105,106,1555,108,7,117,3,316,0, False
WV,63,510, no, no,0,2618,69,4451,245,135,2083,2021,94,909,147,4,397,0, True
NE,124,510, no, no,0,1913,134,3252,2615,113,2223,1823,111,82,10,3,27,1, False
DC,144,415, no, no,0,1333,101,2266,2555,127,2172,2286,68,1029,116,2,313,0, False
NH,116,408, no, yes,24,1836,138,3121,2038,90,1732,1669,89,751,6,3,162,2, False
MD,189,415, no, yes,30,1552,116,2638,1955,50,1662,1701,108,765,154,6,416,1, False
NH,97,408, no, yes,28,2831,93,4813,1854,98,1576,3128,78,1408,61,8,165,1, False
WV,137,510, no, yes,50,1865,94,3171,178,106,1513,2156,100,97,121,4,327,2, False
IL,142,415, no, yes,38,1633,104,2776,136,114,1156,2491,127,1121,43,6,116,0, False
OK,84,510, no, no,0,2034,125,3458,1829,88,1555,2137,121,962,138,2,373,1, False
NH,119,415, no, yes,19,1781,110,3028,2128,100,1809,2263,123,1018,10,6,27,1, False
MI,158,415, no, no,0,1959,103,333,891,95,757,3022,82,136,103,3,278,1, False
ND,50,415, no, no,0,2953,127,502,1274,100,1083,1668,105,751,96,6,259,1, False
LA,98,408, no, no,0,1361,82,2314,1563,118,1329,1588,83,715,101,5,273,2, False
HI,101,415, no, yes,24,1141,95,194,1615,86,1373,1763,90,793,13,9,351,2, False
NJ,182,415, no, no,0,2791,124,4745,1805,108,1534,2175,104,979,95,11,257,2, True
WV,51,408, no, no,0,1693,111,2878,1395,69,1186,197,87,887,12,3,324,0, False
NC,117,510, no, no,0,2144,94,3645,138,149,1173,1487,102,669,99,1,267,2, False
PA,92,415, yes, no,0,2558,125,4349,1427,111,1213,1812,101,815,117,3,316,0, False
MI,86,408, no, no,0,1482,71,2519,2851,91,2423,1664,155,749,62,3,167,2, False
WY,122,415, no, no,0,1193,93,2028,2239,103,1903,2119,122,954,87,4,235,2, False
NJ,156,408, no, yes,27,1923,137,3269,1999,115,1699,2442,112,1099,148,8,4,1, False
NJ,127,510, no, no,0,2452,91,4168,2172,92,1846,2431,128,1094,139,6,375,0, True
NC,130,408, yes, no,0,2162,106,3675,3637,86,3091,1267,123,57,169,2,456,5, True
NM,158,408, no, no,0,1724,114,2931,2566,69,2181,2353,104,1059,0,0,0,2, False
MS,145,510, yes, yes,30,1753,107,298,1533,116,1303,2336,85,1051,111,3,3,1, False
TX,90,415, yes, yes,26,169,104,2873,1888,104,1605,2133,76,96,133,3,359,0, True
OK,127,510, no, yes,27,26,113,44,254,102,2159,2427,156,1092,92,5,248,3, False
ID,109,415, no, no,0,1841,143,313,2117,105,1799,243,116,1093,99,2,267,1, False
AL,88,415, no, no,0,1819,90,3092,1515,87,1288,143,100,644,75,3,203,1, False
WY,101,510, no, yes,9,1601,116,2722,210,121,1785,1391,65,626,108,9,292,0, False
HI,171,510, no, no,0,1898,122,3227,1737,85,1476,2571,84,1157,103,1,278,0, False
VA,21,415, no, no,0,2232,142,3794,2165,114,184,2147,111,966,124,2,335,1, False
WV,145,408, no, yes,31,216,94,3672,2251,123,1913,2347,109,1056,107,1,289,2, False
DE,90,415, no, no,0,1985,124,3375,2666,100,2266,2433,80,1095,8,7,216,2, False
CA,33,408, no, no,0,1595,115,2712,1954,118,1661,1024,86,461,71,7,192,1, False
PA,61,408, no, yes,40,105,78,1785,1806,100,1535,1741,115,783,102,2,275,2, True
CO,107,415, no, no,0,2045,108,3477,1624,110,138,155,102,698,134,1,362,3, False
MD,147,408, no, no,0,274,92,4658,2318,82,197,2836,83,1276,62,1,167,0, True
AL,117,510, no, no,0,1587,84,2698,1817,91,1544,1773,67,798,77,10,208,2, False
AL,95,415, no, no,0,2299,116,3908,2024,110,172,1714,105,771,142,6,383,1, False
KS,186,510, no, no,0,1378,97,2343,1877,118,1595,1464,85,659,87,6,235,1, False
MI,128,415, no, no,0,1794,94,305,2704,92,2298,191,88,859,79,4,213,0, False
AK,55,408, no, yes,39,1393,101,2368,1783,117,1516,2465,104,1109,81,1,219,3, False
OH,134,415, no, no,0,78,86,133,1714,100,1457,1865,80,839,129,2,348,2, False
IN,96,415, no, yes,23,1831,88,3113,1474,89,1253,3502,108,1576,113,7,305,1, False
SC,107,415, no, no,0,2069,79,3517,2624,117,223,1493,69,672,107,3,289,0, False
KS,123,415, no, no,0,140,106,238,1537,101,1306,501,87,225,125,1,338,2, False
OK,35,415, no, no,0,1792,59,3046,2833,101,2408,2854,83,1284,58,7,157,2, False
WI,74,408, no, no,0,1774,136,3016,2403,104,2043,2373,133,1068,12,3,324,0, False
IN,130,408, no, no,0,1156,129,1965,1678,104,1426,1418,124,638,126,9,34,1, False
IL,137,408, yes, no,0,2373,103,4034,1767,84,1502,2634,81,1185,142,4,383,0, True
TN,88,415, no, no,0,1815,116,3086,187,119,159,2203,96,991,105,7,284,1, False
DC,80,408, no, no,0,515,90,876,164,98,1394,1694,80,762,95,4,257,3, False
NC,116,408, no, yes,19,1557,104,2647,1854,118,1576,1927,116,867,82,2,221,3, False
RI,123,510, no, yes,23,245,88,4165,265,105,2253,2397,108,1079,149,3,402,2, False
MS,120,415, no, no,0,1317,99,2239,1631,109,1386,2011,116,905,107,3,289,1, False
VA,146,415, yes, no,0,1111,126,1889,3134,95,2664,2157,82,971,105,6,284,1, False
KY,106,510, no, yes,9,885,100,1505,3248,109,2761,799,86,36,82,4,221,3, False
NV,121,408, no, yes,44,116,85,1972,1501,120,1276,2468,98,1111,12,2,324,1, False
WI,137,510, no, no,0,1555,81,2644,1331,94,1131,2531,77,1139,91,2,246,1, False
NH,84,408, no, yes,30,1065,65,1811,2257,108,1918,1886,61,849,57,3,154,2, False
NE,67,510, no, yes,31,1752,68,2978,1992,73,1693,2198,99,989,132,6,356,1, False
WI,161,408, no, no,0,1547,84,263,1778,125,1511,1729,90,778,59,2,159,4, True
NJ,134,510, no, yes,34,2472,105,4202,2255,133,1917,1863,76,838,61,5,165,2, True
ME,62,415, yes, yes,32,2184,93,3713,2367,132,2012,1922,137,865,132,3,356,0, True
WY,120,415, no, yes,24,2275,81,3868,2349,71,1997,1664,128,749,9,13,243,1, False
IN,130,408, no, yes,30,185,117,3145,2495,141,2121,1578,103,71,74,7,2,0, False
WI,20,408, no, no,0,1868,89,3176,2534,51,2154,2731,105,1229,123,6,332,2, False
VT,68,415, no, no,0,1588,119,27,2118,105,18,1981,101,891,103,3,278,1, False
CA,112,415, no, no,0,2087,150,3548,2128,104,1809,1781,98,801,85,4,23,0, False
IN,77,408, no, no,0,1859,95,316,212,98,1802,2823,81,127,113,4,305,3, False
SC,109,415, no, no,0,2225,74,3783,1697,75,1442,2643,94,1189,9,3,243,2, False
IN,108,415, no, no,0,2011,101,3419,1707,86,1451,2374,113,1068,116,3,313,3, False
IA,79,415, no, yes,17,1679,114,2854,2437,93,2071,2119,114,954,91,2,246,1, False
MD,119,408, no, no,0,2391,88,4065,2435,79,207,2309,92,1039,109,3,294,3, True
MN,38,510, no, no,0,1757,109,2987,2118,97,18,1379,109,621,92,3,248,5, True
AR,109,415, no, yes,29,1112,90,189,2635,98,224,2247,128,1011,9,6,243,6, True
MS,78,415, no, no,0,877,74,1491,2148,58,1826,2013,147,906,108,6,292,1, False
MN,134,415, no, no,0,2441,99,415,2469,111,2099,200,133,9,72,2,194,0, False
WA,47,415, no, yes,27,165,89,2805,1273,118,1082,2844,95,128,77,4,208,2, False
MS,59,408, no, yes,27,1274,110,2166,1033,99,878,1642,73,739,91,3,246,0, False
ID,151,415, no, no,0,1948,106,3312,2927,103,2488,2246,82,1011,55,3,149,0, False
NC,129,415, no, no,0,547,131,93,2561,105,2177,1766,135,795,111,4,3,1, False
VA,107,510, no, yes,27,2834,104,4818,2241,152,1905,2413,63,1086,144,7,389,2, False
MT,137,408, yes, no,0,258,112,4386,2465,117,2095,1732,100,779,109,3,294,0, True
MI,76,510, no, no,0,905,142,1539,2117,75,1799,1949,76,877,93,2,251,1, False
HI,24,415, no, no,0,2356,132,4005,1159,129,985,1854,136,834,162,2,437,0, False
NC,169,408, no, no,0,1425,82,2423,2314,110,1967,1312,67,59,10,4,27,2, False
MN,30,408, no, no,0,54,68,918,1793,96,1524,2472,101,1112,102,8,275,1, False
WV,70,415, no, no,0,2148,87,3652,131,114,1114,2169,104,976,94,3,254,3, False
SD,52,510, yes, no,0,2514,118,4274,1966,80,1671,192,53,864,11,2,297,0, True
HI,3,408, no, no,0,139,99,2363,2507,108,2131,2862,87,1288,61,3,165,4, False
MS,38,415, no, no,0,1173,114,1994,2087,105,1774,2034,98,915,144,2,389,2, False
NY,104,415, no, no,0,264,108,4488,1322,75,1124,1777,91,8,106,8,286,3, False
LA,27,408, no, no,0,826,105,1404,204,99,1734,2242,122,1009,91,4,246,1, False
KS,166,415, yes, yes,28,1758,126,2989,2536,76,2156,1285,72,578,114,5,308,1, False
MA,13,408, no, no,0,2204,100,3747,2112,79,1795,2593,112,1167,136,8,367,2, False
AK,52,408, no, no,0,217,104,3689,1523,83,1295,1343,109,604,118,4,319,2, False
SD,114,415, no, yes,25,129,77,2193,290,110,2465,1771,110,797,116,5,313,1, False
CO,156,408, no, no,0,1505,106,2559,1529,112,13,2159,86,972,35,3,95,1, False
NH,90,415, no, yes,42,1933,66,3286,2633,85,2238,2144,97,965,111,4,3,0, False
WV,62,415, no, no,0,1895,122,3222,1038,95,882,1806,106,813,108,5,292,2, False
AZ,82,415, no, yes,33,1378,95,2343,2355,128,2002,2681,70,1206,11,6,297,2, False
ME,52,510, no, no,0,1293,80,2198,1427,101,1213,2583,89,1162,123,4,332,3, False
NH,146,510, no, no,0,1156,77,1965,2136,100,1816,2184,72,983,107,6,289,1, False
RI,120,415, no, yes,23,2219,114,3772,2547,84,2165,2505,117,1127,72,5,194,2, False
ID,130,415, no, no,0,2637,113,4483,1865,103,1585,1953,99,879,183,6,494,1, True
WI,90,408, no, no,0,613,91,1042,1944,94,1652,1431,80,644,114,9,308,1, False
NM,147,408, yes, no,0,1838,113,3125,1647,110,14,111,87,5,101,4,273,1, False
WY,159,415, no, no,0,1674,68,2846,1438,74,1222,1401,111,63,103,3,278,0, True
IL,74,510, no, yes,27,1541,122,262,1953,150,166,2767,86,1245,132,2,356,4, False
TX,130,408, no, no,0,252,101,4284,1702,105,1447,2092,64,941,57,5,154,0, False
RI,155,408, yes, no,0,1631,94,2773,2917,108,2479,964,111,434,112,3,302,0, False
MI,87,415, no, no,0,1983,80,3371,187,89,159,1335,96,601,166,4,448,2, False
OR,81,415, no, no,0,3247,48,552,2364,82,2009,1876,78,844,131,5,354,0, True
VA,99,510, no, no,0,1283,78,2181,2153,120,183,1437,140,647,143,9,386,2, False
SD,131,510, no, no,0,1879,110,3194,2005,101,1704,2026,125,912,102,11,275,2, False
AL,89,510, no, no,0,1292,71,2196,2141,68,182,2149,100,967,103,4,278,5, True
MS,123,415, yes, no,0,1255,106,2134,1289,96,1096,2519,129,1134,63,6,17,4, True
MS,130,510, no, yes,26,2572,108,4372,2243,122,1907,204,118,918,126,4,34,1, False
HI,99,415, no, no,0,1246,90,2118,1464,70,1244,1694,95,762,105,6,284,1, False
WV,36,408, no, no,0,1751,144,2977,2169,69,1844,2437,146,1097,99,3,267,1, False
WV,87,415, no, no,0,1243,91,2113,1734,105,1474,2563,109,1153,75,5,203,3, False
WV,139,415, no, no,0,2716,130,4617,156,131,1326,1363,108,613,116,9,313,2, False
IN,189,510, no, no,0,2199,80,3738,1433,117,1218,1306,69,588,117,7,316,1, False
NM,96,415, no, yes,33,1833,115,3116,2014,87,1712,1774,84,798,104,15,281,3, False
DE,112,408, no, no,0,1011,119,1719,2144,67,1822,1795,112,808,103,5,278,2, False
NC,75,408, no, no,0,2033,70,3456,2289,97,1946,2222,118,10,143,3,386,1, False
NM,178,415, no, yes,35,1754,88,2982,190,65,1615,1387,94,624,105,3,284,2, False
